City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vilyuysk,63.7553,121.6247,-26.67,99,68,1.79,RU,1706118360
1,mount isa,-20.7333,139.5,27.87,83,75,0.0,AU,1706118360
2,sidrolandia,-20.9319,-54.9614,31.16,39,49,3.65,BR,1706118360
3,xilin hot,43.9667,116.0333,-19.18,92,5,3.79,CN,1706118360
4,port-aux-francais,-49.35,70.2167,5.42,70,71,13.83,TF,1706118360
5,tralee,52.2704,-9.7026,8.14,87,0,2.57,IE,1706118360
6,cabo san lucas,22.8909,-109.9124,24.78,72,20,2.06,MX,1706118178
7,adamstown,-25.066,-130.1015,24.0,74,100,2.8,PN,1706118361
8,palopo,-2.9996,120.1921,25.7,79,100,1.44,ID,1706118361
9,waitangi,-43.9535,-176.5597,14.34,63,97,7.79,NZ,1706118361
10,calchaqui,-29.8877,-60.287,29.44,43,3,3.27,AR,1706118361
11,bilibino,68.0546,166.4372,-30.45,83,100,0.21,RU,1706118361
12,ola,59.5833,151.2833,-28.21,86,15,2.51,RU,1706118362
13,ushuaia,-54.8,-68.3,12.79,54,0,1.54,AR,1706118081
14,avarua,-21.2078,-159.775,26.03,73,100,4.12,CK,1706118362
15,mejit,10.2753,170.8646,25.77,78,100,9.0,MH,1706118362
16,rocky mountain house,52.3668,-114.9188,-10.94,92,62,0.51,CA,1706118362
17,dudinka,69.4058,86.1778,-24.62,99,85,2.24,RU,1706118363
18,jamestown,42.097,-79.2353,6.51,100,100,3.6,US,1706118338
19,phillip island,-38.4835,145.231,17.49,92,83,0.18,AU,1706118363
20,la'ie,21.6477,-157.9253,24.98,73,93,0.45,US,1706118363
21,port mathurin,-19.6833,63.4167,28.24,84,75,11.9,MU,1706118363
22,yulinshi,38.2906,109.7494,-11.17,68,0,3.45,CN,1706118364
23,puerto natales,-51.7236,-72.4875,17.25,34,75,4.63,CL,1706118364
24,namibe,-15.1961,12.1522,23.65,81,45,3.68,AO,1706118364
25,udachny,66.4167,112.4,-27.5,100,94,4.13,RU,1706118364
